epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,30,,4994.34228515625,0.7981712818145752
0,30,8428.0078125,,
1,61,,4833.2412109375,0.8233635425567627
1,61,7996.05078125,,
2,92,,4734.30419921875,0.8493979573249817
2,92,7865.4140625,,
3,123,,4650.26220703125,0.8514919281005859
3,123,7770.8701171875,,
4,154,,4627.8798828125,0.8505067825317383
4,154,7764.47900390625,,
5,185,,4638.4384765625,0.853764533996582
5,185,7720.263671875,,
6,216,,4569.47265625,0.8573415875434875
6,216,7705.75341796875,,
7,247,,4519.0986328125,0.8559943437576294
7,247,7706.88671875,,
8,278,,4579.87890625,0.8515796065330505
8,278,7659.24072265625,,
9,309,,4565.8984375,0.8575226068496704
9,309,7663.92529296875,,
10,340,,4492.74267578125,0.8574076294898987
10,340,7621.48388671875,,
11,371,,4486.12060546875,0.8559529781341553
11,371,7622.6572265625,,
12,402,,4435.294921875,0.8607284426689148
12,402,7605.22021484375,,
13,433,,4468.63330078125,0.8557926416397095
13,433,7648.607421875,,
14,464,,4478.37548828125,0.8568461537361145
14,464,7585.00146484375,,
