epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6578.68798828125,0.7590753436088562
0,24,7235.8720703125,,
1,49,,6589.7607421875,0.7642267346382141
1,49,6883.45947265625,,
2,74,,6534.92138671875,0.7686507701873779
2,74,6850.38232421875,,
3,99,,6488.87939453125,0.7683373093605042
3,99,6794.23486328125,,
4,124,,6367.818359375,0.7718065977096558
4,124,6762.7646484375,,
5,149,,6400.4296875,0.7681024670600891
5,149,6738.98388671875,,
6,174,,6351.5078125,0.7745226621627808
6,174,6696.75830078125,,
7,199,,6335.29296875,0.773807942867279
7,199,6674.96826171875,,
8,224,,6274.02978515625,0.7801775336265564
8,224,6647.9375,,
9,249,,6201.958984375,0.7846934199333191
9,249,6624.66162109375,,
10,274,,6251.3271484375,0.7792140245437622
10,274,6614.4755859375,,
11,299,,6094.14404296875,0.7901932597160339
