epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6564.60546875,0.7584767937660217
0,24,7232.134765625,,
1,49,,6552.28466796875,0.7632303833961487
1,49,6890.4033203125,,
2,74,,6533.9833984375,0.7673994302749634
2,74,6853.03515625,,
3,99,,6501.3369140625,0.7673144340515137
3,99,6798.30517578125,,
4,124,,6382.03076171875,0.7713640928268433
4,124,6758.8720703125,,
5,149,,6392.86181640625,0.7687202095985413
5,149,6741.2451171875,,
6,174,,6362.73779296875,0.7747416496276855
6,174,6700.1611328125,,
7,199,,6328.4833984375,0.7741701602935791
7,199,6682.4345703125,,
8,224,,6282.98828125,0.7815165519714355
8,224,6645.24169921875,,
9,249,,6198.07080078125,0.7847448587417603
9,249,6623.1044921875,,
10,274,,6254.54443359375,0.7744895815849304
10,274,6611.71484375,,
11,299,,6128.2958984375,0.7923243641853333
