epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,4876.86083984375,0.8308353424072266
0,15,8360.6220703125,,
1,31,,4646.37109375,0.8472098112106323
1,31,7769.4189453125,,
2,47,,4548.62353515625,0.8518917560577393
2,47,7571.5546875,,
3,63,,4488.76171875,0.8559950590133667
3,63,7510.0458984375,,
4,79,,4589.6708984375,0.8443407416343689
4,79,7439.79052734375,,
5,95,,4431.47119140625,0.8586480617523193
5,95,7460.22998046875,,
6,111,,4491.462890625,0.8604019284248352
6,111,7386.55224609375,,
7,127,,4429.5205078125,0.858428955078125
7,127,7443.29345703125,,
8,143,,4361.263671875,0.8631287813186646
8,143,7361.68408203125,,
9,159,,4376.36669921875,0.8631621599197388
9,159,7322.44287109375,,
10,175,,4333.83544921875,0.8594697713851929
10,175,7312.47119140625,,
11,191,,4315.482421875,0.8584778308868408
11,191,7292.728515625,,
12,207,,4301.45166015625,0.8565683364868164
12,207,7257.70361328125,,
13,223,,4327.8583984375,0.8542394638061523
13,223,7268.24169921875,,
14,239,,4341.71142578125,0.8593425154685974
14,239,7334.42626953125,,
15,255,,4272.67431640625,0.8591659069061279
15,255,7234.73046875,,
16,271,,4409.01953125,0.8552738428115845
16,271,7253.7275390625,,
17,287,,4322.51708984375,0.8554094433784485
17,287,7287.7060546875,,
18,303,,4308.91259765625,0.8544167876243591
18,303,7280.68408203125,,
19,319,,4347.87109375,0.8575569987297058
19,319,7304.01171875,,
20,335,,4246.16748046875,0.8537067770957947
20,335,7253.88427734375,,
21,351,,4246.8408203125,0.8585826754570007
21,351,7209.32763671875,,
22,367,,4253.748046875,0.8603232502937317
22,367,7193.916015625,,
23,383,,4447.18896484375,0.8585203886032104
23,383,7211.7744140625,,
24,399,,4243.05419921875,0.8579334616661072
24,399,7216.0693359375,,
25,415,,4342.55810546875,0.8560971617698669
25,415,7220.34228515625,,
26,431,,4238.123046875,0.8587744235992432
26,431,7198.35693359375,,
27,447,,4261.55517578125,0.8575381636619568
27,447,7215.60107421875,,
28,463,,4258.98486328125,0.854302704334259
28,463,7211.87109375,,
29,479,,4248.69287109375,0.8600797057151794
29,479,7157.40185546875,,
30,495,,4208.9208984375,0.8587839007377625
30,495,7171.1494140625,,
31,511,,4271.65087890625,0.8583068251609802
31,511,7151.7392578125,,
32,527,,4306.3212890625,0.8562566041946411
32,527,7206.302734375,,
33,543,,4306.65185546875,0.8576023578643799
33,543,7221.2607421875,,
34,559,,4230.9150390625,0.8579656481742859
34,559,7153.47509765625,,
35,575,,4364.62109375,0.855100691318512
35,575,7172.96484375,,
36,591,,4281.70263671875,0.8575342893600464
36,591,7182.9755859375,,
37,607,,4240.5859375,0.8574371337890625
37,607,7146.34814453125,,
38,623,,4220.70458984375,0.862260639667511
38,623,7156.21875,,
39,639,,4225.94970703125,0.8594732284545898
39,639,7101.08935546875,,
40,655,,4192.41015625,0.8624380230903625
40,655,7106.580078125,,
41,671,,4234.91162109375,0.8653584122657776
41,671,7114.6328125,,
42,687,,4181.76904296875,0.8628067374229431
42,687,7098.10400390625,,
43,703,,4291.4267578125,0.8607195019721985
43,703,7160.3876953125,,
44,719,,4274.5478515625,0.86191326379776
44,719,7209.875,,
45,735,,4179.55859375,0.8592168688774109
45,735,7117.0556640625,,
46,751,,4224.70263671875,0.8657418489456177
46,751,7079.82666015625,,
47,767,,4205.27197265625,0.861797034740448
47,767,7096.89697265625,,
48,783,,4194.216796875,0.8643198013305664
48,783,7078.1689453125,,
49,799,,4198.0224609375,0.8659545183181763
49,799,7061.92236328125,,
