epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,4924.3994140625,0.796151340007782
0,15,8335.400390625,,
1,31,,4759.10986328125,0.8236744999885559
1,31,7806.779296875,,
2,47,,4642.3974609375,0.8474608659744263
2,47,7653.9453125,,
3,63,,4600.47216796875,0.8522014617919922
3,63,7546.607421875,,
4,79,,4593.5419921875,0.8505565524101257
4,79,7511.44189453125,,
5,95,,4524.78173828125,0.8548358082771301
5,95,7457.6513671875,,
6,111,,4477.70361328125,0.8556336164474487
6,111,7416.8857421875,,
7,127,,4416.44921875,0.8574585914611816
7,127,7383.21533203125,,
8,143,,4429.30712890625,0.8511759042739868
8,143,7389.1982421875,,
9,159,,4398.81201171875,0.8572284579277039
9,159,7386.63671875,,
10,175,,4390.64501953125,0.8572028279304504
10,175,7333.0234375,,
11,191,,4407.11181640625,0.8594401478767395
