epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,30,,4604.60888671875,0.8522692322731018
0,30,8057.15625,,
1,61,,4685.392578125,0.8381235599517822
1,61,7782.3720703125,,
2,92,,4663.42919921875,0.8480097651481628
2,92,7596.7353515625,,
3,123,,4414.67822265625,0.8392048478126526
3,123,7511.37548828125,,
4,154,,4499.265625,0.8530725240707397
4,154,7535.84130859375,,
5,185,,4433.2880859375,0.8534847497940063
5,185,7430.58251953125,,
6,216,,4398.75390625,0.8447795510292053
