epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6575.76220703125,0.7577404379844666
0,24,7233.51416015625,,
1,49,,6499.60791015625,0.7630642652511597
1,49,6897.1015625,,
2,74,,6545.38720703125,0.7653480172157288
2,74,6851.71826171875,,
3,99,,6503.806640625,0.7692941427230835
3,99,6795.42626953125,,
4,124,,6359.53564453125,0.7722831964492798
4,124,6755.93310546875,,
5,149,,6376.62841796875,0.7682843804359436
5,149,6739.1484375,,
6,174,,6370.06298828125,0.7753751873970032
6,174,6700.83154296875,,
7,199,,6341.1630859375,0.7718862295150757
7,199,6689.76611328125,,
8,224,,6287.583984375,0.7785034775733948
