epoch,step,train_loss_RANK,val_kendall_corr_metric,val_loss_RANK,val_map_at_k_metric,val_ndcg_at_k_metric
0,24,,0.2598949670791626,6699.08203125,0.8253016471862793,0.8125267624855042
0,24,7330.41796875,,,,
1,49,,0.2706933915615082,6640.27294921875,0.8262166976928711,0.8306070566177368
1,49,7034.96826171875,,,,
2,74,,0.2775229215621948,6620.52294921875,0.832585334777832,0.828190267086029
2,74,6970.2451171875,,,,
3,99,,0.27143946290016174,6620.7265625,0.8351501226425171,0.8421895503997803
3,99,6941.6728515625,,,,
4,124,,0.2771371006965637,6464.501953125,0.8359743356704712,0.8321322798728943
4,124,6904.0107421875,,,,
5,149,,0.2760049104690552,6400.94189453125,0.83806312084198,0.8410124778747559
5,149,6893.0419921875,,,,
6,174,,0.2729342579841614,6461.24951171875,0.8408703207969666,0.8453798890113831
6,174,6865.8271484375,,,,
7,199,,0.27583539485931396,6459.568359375,0.8414837718009949,0.8505198359489441
7,199,6856.48779296875,,,,
8,224,,0.27778828144073486,6392.98193359375,0.844609797000885,0.8640010356903076
8,224,6824.42236328125,,,,
9,249,,0.27156466245651245,6358.9267578125,0.8446222543716431,0.8594644665718079
9,249,6801.3671875,,,,
10,274,,0.26724088191986084,6330.1455078125,0.8470851182937622,0.8637028336524963
10,274,6803.74365234375,,,,
11,299,,0.28141823410987854,6309.23388671875,0.8476794362068176,0.8658017516136169
11,299,6784.77587890625,,,,
12,324,,0.28219595551490784,6246.9892578125,0.8544922471046448,0.8640595078468323
12,324,6767.26220703125,,,,
13,349,,0.2847636342048645,6174.01416015625,0.8642895221710205,0.8647017478942871
13,349,6721.9384765625,,,,
14,374,,0.2817145586013794,6251.62646484375,0.8681576251983643,0.8691239356994629
14,374,6724.759765625,,,,
15,399,,0.291637659072876,6169.81689453125,0.8576522469520569,0.8654469847679138
15,399,6695.7734375,,,,
16,424,,0.298951119184494,6120.912109375,0.8695156574249268,0.8664438724517822
16,424,6672.1875,,,,
17,449,,0.2857007682323456,6216.25048828125,0.8628305792808533,0.8531697392463684
17,449,6682.5322265625,,,,
18,474,,0.29234448075294495,6087.4736328125,0.8689692616462708,0.8676856160163879
18,474,6675.45654296875,,,,
19,499,,0.28838658332824707,6190.9853515625,0.8649410605430603,0.8535974621772766
19,499,6633.80517578125,,,,
20,524,,0.29281115531921387,6109.32080078125,0.8641668558120728,0.8636837601661682
20,524,6657.15576171875,,,,
21,549,,0.2852465510368347,6131.42236328125,0.8654512763023376,0.8628876209259033
21,549,6639.58544921875,,,,
22,574,,0.2816089391708374,6267.81591796875,0.8583834171295166,0.852112889289856
22,574,6645.34619140625,,,,
23,599,,0.2937314808368683,6230.28515625,0.8675840497016907,0.8679999709129333
23,599,6649.31298828125,,,,
24,624,,0.28758108615875244,6146.3818359375,0.867017924785614,0.8600896000862122
24,624,6638.9638671875,,,,
25,649,,0.2933740019798279,6123.1337890625,0.8725379705429077,0.8635215163230896
25,649,6648.10986328125,,,,
26,674,,0.2919623851776123,6175.466796875,0.8667129278182983,0.8691667318344116
26,674,6637.86572265625,,,,
27,699,,0.29999998211860657,6106.3125,0.8716601133346558,0.8716439008712769
27,699,6625.75146484375,,,,
28,724,,0.2927619516849518,6061.8642578125,0.8702399730682373,0.8589596748352051
28,724,6633.11767578125,,,,
29,749,,0.2900114357471466,6186.322265625,0.8649152517318726,0.8582794666290283
29,749,6623.52099609375,,,,
30,774,,0.2873123586177826,6247.18115234375,0.8748888373374939,0.8662638068199158
30,774,6627.6171875,,,,
31,799,,0.29124748706817627,6179.2255859375,0.8614662289619446,0.8739529848098755
31,799,6623.8017578125,,,,
32,824,,0.28450390696525574,6206.310546875,0.874671995639801,0.8638850450515747
32,824,6615.20654296875,,,,
33,849,,0.2858535349369049,6236.82275390625,0.8624401688575745,0.8520664572715759
33,849,6615.28515625,,,,
34,874,,0.295729398727417,6203.716796875,0.872599720954895,0.8726513981819153
34,874,6613.0625,,,,
35,899,,0.29063525795936584,6175.8515625,0.8746484518051147,0.8625235557556152
35,899,6619.9541015625,,,,
36,924,,0.29534265398979187,6256.2392578125,0.8688750863075256,0.8668724298477173
36,924,6618.11474609375,,,,
37,949,,0.2982424795627594,6082.38916015625,0.8694785237312317,0.8664395809173584
37,949,6600.7587890625,,,,
38,974,,0.2971617877483368,6123.7099609375,0.87708580493927,0.8702256083488464
38,974,6611.43115234375,,,,
39,999,,0.2814430594444275,6144.59423828125,0.8553396463394165,0.8638437390327454
39,999,6614.73974609375,,,,
40,1024,,0.2933978736400604,6143.6787109375,0.8711098432540894,0.8653408885002136
40,1024,6598.9111328125,,,,
41,1049,,0.295186847448349,6148.75390625,0.8712193965911865,0.8671121597290039
