epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6597.31005859375,0.7586614489555359
0,24,7247.61181640625,,
1,49,,6597.22509765625,0.7633517384529114
1,49,6892.94775390625,,
2,74,,6549.57763671875,0.7652412056922913
2,74,6860.2119140625,,
3,99,,6535.81201171875,0.7673280835151672
3,99,6816.9658203125,,
4,124,,6388.16943359375,0.7711597084999084
4,124,6773.38671875,,
5,149,,6363.42431640625,0.7694287896156311
5,149,6766.64501953125,,
6,174,,6382.40478515625,0.7733963131904602
6,174,6708.4814453125,,
7,199,,6385.73046875,0.7727828025817871
7,199,6702.66455078125,,
8,224,,6302.8251953125,0.7778483629226685
