epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,24,,0.03188137710094452,0.544483482837677
0,24,0.08392799645662308,,
1,49,,0.03188137710094452,0.5469479560852051
1,49,0.07671058923006058,,
2,74,,0.03188137710094452,0.5468425154685974
2,74,0.07618021965026855,,
3,99,,0.03188137710094452,0.5468374490737915
