epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,4912.59228515625,0.8191213607788086
0,15,8449.1533203125,,
1,31,,4557.4287109375,0.8523687124252319
1,31,7686.951171875,,
2,47,,4606.77880859375,0.853482723236084
2,47,7530.9326171875,,
3,63,,4570.6962890625,0.855154275894165
3,63,7575.7255859375,,
4,79,,4484.78466796875,0.8494687080383301
4,79,7448.505859375,,
5,95,,4451.93310546875,0.8552781939506531
5,95,7410.50146484375,,
6,111,,4454.68798828125,0.8568941354751587
