epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,30,,4753.6708984375,0.8425548672676086
0,30,8177.41064453125,,
1,61,,4564.5966796875,0.8530803918838501
1,61,7796.59228515625,,
2,92,,4645.55712890625,0.854267418384552
2,92,7742.5546875,,
3,123,,4519.03955078125,0.8553887605667114
3,123,7684.42041015625,,
4,154,,4687.36181640625,0.8499113321304321
4,154,7672.21435546875,,
5,185,,4520.0224609375,0.851164698600769
5,185,7684.6220703125,,
6,216,,4475.4052734375,0.852098286151886
6,216,7615.0009765625,,
7,247,,4448.03857421875,0.8539349436759949
7,247,7613.7119140625,,
8,278,,4421.97802734375,0.8548749089241028
8,278,7577.9619140625,,
9,309,,4462.92041015625,0.855320394039154
9,309,7561.0498046875,,
10,340,,4428.232421875,0.8549132347106934
10,340,7540.5224609375,,
11,371,,4355.9462890625,0.851716935634613
11,371,7540.97021484375,,
12,402,,4389.09033203125,0.8562250733375549
12,402,7556.47802734375,,
13,433,,4415.8798828125,0.8538616895675659
13,433,7564.89794921875,,
14,464,,4456.23486328125,0.8575864434242249
14,464,7508.4580078125,,
