epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6987.29736328125,0.6708294749259949
0,24,7279.55322265625,,
1,49,,6792.59521484375,0.727128267288208
1,49,7095.36181640625,,
2,74,,6440.52978515625,0.753917932510376
2,74,6890.97119140625,,
3,99,,6350.18115234375,0.7611494064331055
3,99,6791.39208984375,,
4,124,,6304.2255859375,0.7654696702957153
4,124,6745.109375,,
5,149,,6257.10791015625,0.7674575448036194
5,149,6708.07958984375,,
6,174,,6271.9931640625,0.766081690788269
6,174,6713.9931640625,,
7,199,,6217.49169921875,0.7659206986427307
7,199,6699.68701171875,,
8,224,,6256.0185546875,0.7702212929725647
8,224,6682.68115234375,,
9,249,,6252.9375,0.7602860331535339
9,249,6677.60498046875,,
10,274,,6299.150390625,0.7654373049736023
10,274,6670.330078125,,
11,299,,6194.53173828125,0.7689600586891174
11,299,6654.54345703125,,
12,324,,6254.85205078125,0.7730242609977722
12,324,6650.8466796875,,
13,349,,6159.45361328125,0.7723394632339478
13,349,6643.67236328125,,
14,374,,6175.39208984375,0.7721896171569824
14,374,6648.69677734375,,
15,399,,6245.65966796875,0.76213538646698
15,399,6631.96484375,,
16,424,,6181.8974609375,0.7708165645599365
16,424,6637.36474609375,,
17,449,,6185.029296875,0.7727357745170593
17,449,6625.13818359375,,
18,474,,6205.36083984375,0.7653343081474304
18,474,6632.43310546875,,
19,499,,6319.80224609375,0.7666326761245728
19,499,6639.455078125,,
20,524,,6199.52490234375,0.7700398564338684
20,524,6619.66357421875,,
21,549,,6162.40771484375,0.7711041569709778
21,549,6629.67626953125,,
22,574,,6217.64111328125,0.7733072638511658
22,574,6613.57763671875,,
23,599,,6211.810546875,0.7733723521232605
23,599,6611.40771484375,,
24,624,,6150.28515625,0.7750092148780823
24,624,6628.42578125,,
25,649,,6267.6298828125,0.7725458741188049
25,649,6610.064453125,,
26,674,,6199.67041015625,0.7718079090118408
26,674,6610.93505859375,,
27,699,,6234.12646484375,0.7657834887504578
27,699,6618.62744140625,,
28,724,,6230.248046875,0.7740653157234192
28,724,6610.048828125,,
29,749,,6204.08935546875,0.7717812061309814
29,749,6626.6865234375,,
30,774,,6265.1171875,0.7646079063415527
30,774,6625.30615234375,,
31,799,,6218.8798828125,0.775239884853363
31,799,6613.509765625,,
32,824,,6214.26025390625,0.7707451581954956
32,824,6634.70556640625,,
33,849,,6150.48779296875,0.774018406867981
33,849,6616.1953125,,
34,874,,6197.349609375,0.771691620349884
34,874,6607.470703125,,
35,899,,6227.9462890625,0.7737373113632202
35,899,6610.03369140625,,
36,924,,6190.16943359375,0.7721287608146667
36,924,6609.73583984375,,
37,949,,6194.4541015625,0.7726536989212036
37,949,6597.34912109375,,
38,974,,6202.9931640625,0.7730951905250549
38,974,6617.08349609375,,
39,999,,6196.1435546875,0.7724459171295166
39,999,6602.41796875,,
40,1024,,6207.46044921875,0.7713439464569092
40,1024,6601.00146484375,,
41,1049,,6191.30078125,0.772841215133667
41,1049,6600.72314453125,,
42,1074,,6199.98583984375,0.7731236815452576
42,1074,6612.65625,,
43,1099,,6204.2744140625,0.7736894488334656
43,1099,6593.48291015625,,
44,1124,,6190.60888671875,0.773151695728302
44,1124,6592.994140625,,
45,1149,,6197.193359375,0.7736782431602478
45,1149,6589.52880859375,,
46,1174,,6199.525390625,0.7729790210723877
46,1174,6595.30908203125,,
47,1199,,6197.54638671875,0.7728584408760071
47,1199,6581.86474609375,,
48,1224,,6197.8671875,0.7728668451309204
48,1224,6598.72265625,,
49,1249,,6197.978515625,0.7734870314598083
49,1249,6602.94921875,,
