epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6625.75439453125,0.7564282417297363
0,24,7249.00244140625,,
1,49,,6593.7705078125,0.7625889182090759
1,49,6894.6064453125,,
2,74,,6543.68896484375,0.7660728693008423
2,74,6863.728515625,,
3,99,,6509.86279296875,0.7677536010742188
3,99,6822.171875,,
4,124,,6420.55908203125,0.7703622579574585
4,124,6785.14013671875,,
5,149,,6381.34130859375,0.7685524821281433
5,149,6755.73486328125,,
6,174,,6421.05615234375,0.7733906507492065
6,174,6714.90380859375,,
7,199,,6356.5673828125,0.7721939086914062
7,199,6707.85009765625,,
8,224,,6303.5986328125,0.7794167399406433
