epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,5313.36669921875,0.7384648323059082
0,15,8632.0390625,,
1,31,,4954.25732421875,0.8065047860145569
1,31,8317.19921875,,
2,47,,4759.34326171875,0.8393033742904663
2,47,8102.19677734375,,
3,63,,4726.013671875,0.8460582494735718
3,63,7981.2861328125,,
4,79,,4654.48046875,0.8526843190193176
4,79,7912.54541015625,,
5,95,,4650.37939453125,0.8516913652420044
5,95,7907.56396484375,,
6,111,,4562.94873046875,0.8524379730224609
6,111,7893.47119140625,,
7,127,,4586.28759765625,0.8531029224395752
7,127,7863.9033203125,,
8,143,,4658.408203125,0.8574815392494202
8,143,7845.6328125,,
9,159,,4498.53662109375,0.8574739098548889
9,159,7841.798828125,,
10,175,,4551.853515625,0.8565624356269836
10,175,7832.83544921875,,
11,191,,4582.3291015625,0.853352427482605
11,191,7796.36669921875,,
12,207,,4544.89111328125,0.858470618724823
12,207,7804.06396484375,,
13,223,,4562.83544921875,0.8573241233825684
13,223,7787.96826171875,,
14,239,,4478.12353515625,0.8566480278968811
14,239,7764.62841796875,,
