epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6547.58203125,0.7573575377464294
0,24,7227.15380859375,,
1,49,,6572.24365234375,0.7631981372833252
1,49,6882.12890625,,
2,74,,6537.36474609375,0.7654986381530762
2,74,6855.38671875,,
3,99,,6508.95654296875,0.7685149312019348
3,99,6796.9794921875,,
4,124,,6355.4150390625,0.7707179188728333
4,124,6759.29248046875,,
5,149,,6376.876953125,0.7688815593719482
5,149,6742.998046875,,
6,174,,6392.8515625,0.7741231918334961
6,174,6698.98388671875,,
7,199,,6344.31005859375,0.7757347822189331
7,199,6687.15283203125,,
8,224,,6300.31884765625,0.7794791460037231
8,224,6649.84814453125,,
9,249,,6211.15185546875,0.7809825539588928
