epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6693.65185546875,0.7541446089744568
0,24,7301.81884765625,,
1,49,,6608.0546875,0.7623887062072754
1,49,6973.8515625,,
2,74,,6527.2734375,0.7691745162010193
2,74,6904.22509765625,,
3,99,,6536.4755859375,0.7667117714881897
3,99,6844.580078125,,
4,124,,6404.28955078125,0.7735083699226379
4,124,6836.32177734375,,
5,149,,6394.751953125,0.7698451280593872
5,149,6810.80712890625,,
6,174,,6418.84423828125,0.7716596126556396
6,174,6778.953125,,
7,199,,6329.9013671875,0.7740377187728882
7,199,6769.80859375,,
8,224,,6248.20703125,0.7820667624473572
8,224,6708.41357421875,,
9,249,,6224.37744140625,0.7828390002250671
9,249,6674.83544921875,,
10,274,,6213.43408203125,0.7772596478462219
10,274,6654.35791015625,,
11,299,,6154.64111328125,0.7927249073982239
11,299,6653.87353515625,,
12,324,,6164.3125,0.7899643778800964
