epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,30,,4908.97607421875,0.7966288924217224
0,30,8362.6650390625,,
1,61,,4607.5830078125,0.8486484885215759
1,61,7814.16796875,,
2,92,,4607.5166015625,0.8477358222007751
2,92,7651.3359375,,
3,123,,4533.20166015625,0.8527693152427673
3,123,7604.30029296875,,
4,154,,4489.0087890625,0.8525336384773254
4,154,7550.6455078125,,
5,185,,4521.833984375,0.847087562084198
5,185,7563.28125,,
6,216,,4438.94287109375,0.857272744178772
6,216,7521.48583984375,,
7,247,,4457.3203125,0.8560794591903687
7,247,7493.98583984375,,
8,278,,4511.96533203125,0.8569507002830505
8,278,7485.66796875,,
9,309,,4384.05908203125,0.855432391166687
9,309,7464.466796875,,
10,340,,4430.8486328125,0.8549026846885681
10,340,7471.47607421875,,
11,371,,4410.70751953125,0.8569209575653076
