epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6564.8671875,0.7582362294197083
0,24,7229.974609375,,
1,49,,6552.822265625,0.7640557289123535
1,49,6889.11083984375,,
2,74,,6529.306640625,0.7675104141235352
2,74,6850.09619140625,,
3,99,,6526.18359375,0.7691795229911804
3,99,6799.63525390625,,
4,124,,6369.4794921875,0.7714388966560364
4,124,6764.5859375,,
5,149,,6388.7958984375,0.770616888999939
5,149,6742.1162109375,,
6,174,,6359.4873046875,0.7741976976394653
6,174,6701.05615234375,,
7,199,,6348.25390625,0.7759345173835754
7,199,6685.9912109375,,
8,224,,6278.333984375,0.7819510698318481
8,224,6643.12548828125,,
9,249,,6200.59814453125,0.7842512130737305
9,249,6622.0546875,,
10,274,,6253.2568359375,0.7742522358894348
10,274,6606.34912109375,,
11,299,,6105.056640625,0.7908798456192017
