epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,5002.357421875,0.7822920083999634
0,15,8402.21484375,,
1,31,,4668.4892578125,0.8389894962310791
1,31,7831.18017578125,,
2,47,,4562.76806640625,0.8492857217788696
2,47,7648.37548828125,,
3,63,,4545.9091796875,0.8498408794403076
3,63,7510.251953125,,
4,79,,4470.18994140625,0.8530769944190979
4,79,7483.52880859375,,
5,95,,4420.56201171875,0.8566125631332397
5,95,7430.05859375,,
6,111,,4440.8251953125,0.8563588261604309
6,111,7387.34619140625,,
7,127,,4529.76806640625,0.8504114151000977
7,127,7383.44287109375,,
8,143,,4478.14697265625,0.8573557734489441
8,143,7421.806640625,,
9,159,,4451.30810546875,0.8455371260643005
9,159,7414.75537109375,,
10,175,,4440.41552734375,0.8554769158363342
10,175,7405.203125,,
11,191,,4473.81787109375,0.8593484163284302
