epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6618.05078125,0.7582069039344788
0,24,7283.9677734375,,
1,49,,6596.25244140625,0.763435423374176
1,49,6959.1533203125,,
2,74,,6615.9755859375,0.7656090259552002
2,74,6919.9287109375,,
3,99,,6586.2861328125,0.7648056149482727
3,99,6884.740234375,,
4,124,,6412.73779296875,0.7721855640411377
4,124,6852.19091796875,,
5,149,,6387.2646484375,0.7708389163017273
5,149,6829.00830078125,,
6,174,,6398.052734375,0.773859441280365
6,174,6786.46875,,
7,199,,6379.697265625,0.7744909524917603
7,199,6789.26220703125,,
8,224,,6383.14794921875,0.776557981967926
