epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,30,,4938.10888671875,0.8116074800491333
0,30,8374.138671875,,
1,61,,4720.13525390625,0.8345087766647339
1,61,7951.09765625,,
2,92,,4690.72900390625,0.8469127416610718
2,92,7825.75732421875,,
3,123,,4602.76025390625,0.8524785041809082
3,123,7738.55712890625,,
4,154,,4638.5068359375,0.8511577248573303
4,154,7754.23876953125,,
5,185,,4564.2509765625,0.8548938035964966
5,185,7708.26953125,,
6,216,,4579.98583984375,0.8552674055099487
6,216,7674.65087890625,,
7,247,,4505.33642578125,0.8561051487922668
7,247,7699.1552734375,,
8,278,,4517.24267578125,0.8520966172218323
8,278,7621.23388671875,,
9,309,,4499.49560546875,0.8569270372390747
9,309,7637.578125,,
10,340,,4479.40478515625,0.8526194095611572
10,340,7594.15234375,,
11,371,,4485.97216796875,0.8546650409698486
11,371,7640.8408203125,,
12,402,,4439.4443359375,0.8588868379592896
12,402,7588.2724609375,,
13,433,,4460.45703125,0.8549579381942749
13,433,7600.462890625,,
14,464,,4416.787109375,0.8555164337158203
14,464,7554.62255859375,,
