epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6660.79345703125,0.7568080425262451
0,24,7288.12353515625,,
1,49,,6626.53759765625,0.7635223865509033
1,49,6982.1845703125,,
2,74,,6627.3359375,0.7674337029457092
2,74,6941.0654296875,,
3,99,,6539.9130859375,0.7678266763687134
3,99,6898.73974609375,,
4,124,,6422.7685546875,0.7733397483825684
4,124,6861.5458984375,,
5,149,,6358.0732421875,0.7714025378227234
5,149,6851.4892578125,,
6,174,,6441.95703125,0.7744064927101135
6,174,6808.05322265625,,
7,199,,6394.146484375,0.7718184590339661
7,199,6807.75830078125,,
8,224,,6386.65283203125,0.775780439376831
