epoch,step,train_loss_RANK,val_kendall_corr_metric,val_loss_RANK,val_map_at_k_metric,val_ndcg_at_k_metric
0,15,,0.3995788097381592,4970.18505859375,0.8528521060943604,0.7911499738693237
0,15,8457.66015625,,,,
1,31,,0.40258681774139404,4652.35302734375,0.8762176036834717,0.8248255848884583
1,31,7866.73828125,,,,
2,47,,0.44614049792289734,4540.958984375,0.8905745148658752,0.8624278903007507
2,47,7679.9462890625,,,,
3,63,,0.42487049102783203,4595.7744140625,0.8929793238639832,0.8720008134841919
3,63,7702.0390625,,,,
4,79,,0.4317619204521179,4580.43017578125,0.8934527039527893,0.8381133675575256
4,79,7637.65625,,,,
5,95,,0.43508124351501465,4542.38232421875,0.8971703052520752,0.8771263957023621
5,95,7576.64794921875,,,,
6,111,,0.44138863682746887,4515.79541015625,0.8988940119743347,0.869520366191864
6,111,7570.423828125,,,,
7,127,,0.44207361340522766,4442.10986328125,0.8984383940696716,0.8674591779708862
7,127,7532.193359375,,,,
8,143,,0.44016650319099426,4495.9736328125,0.9016786813735962,0.8845403790473938
8,143,7504.115234375,,,,
9,159,,0.41649022698402405,4451.8681640625,0.8974476456642151,0.8546740412712097
9,159,7513.31005859375,,,,
10,175,,0.3947754502296448,4601.80712890625,0.895739734172821,0.8767507672309875
10,175,7500.39404296875,,,,
11,191,,0.42911890149116516,4476.13916015625,0.8971012234687805,0.8721010684967041
11,191,7657.99267578125,,,,
12,207,,0.4340757727622986,4375.6005859375,0.8996069431304932,0.8803987503051758
12,207,7482.41064453125,,,,
13,223,,0.42061665654182434,4471.41796875,0.8958137035369873,0.8808983564376831
13,223,7521.330078125,,,,
14,239,,0.44031238555908203,4431.50732421875,0.8953072428703308,0.8767763376235962
14,239,7479.31884765625,,,,
15,255,,0.4415254592895508,4500.396484375,0.893519937992096,0.8796323537826538
15,255,7511.88134765625,,,,
16,271,,0.44027531147003174,4366.18896484375,0.9024156928062439,0.8761767745018005
16,271,7555.771484375,,,,
17,287,,0.43031126260757446,4348.0302734375,0.9025682806968689,0.8701326847076416
17,287,7490.7060546875,,,,
18,303,,0.4303875267505646,4316.9013671875,0.9051610231399536,0.8820911049842834
18,303,7445.38720703125,,,,
19,319,,0.43847402930259705,4398.74560546875,0.9071824550628662,0.8768000602722168
19,319,7443.09228515625,,,,
20,335,,0.42407137155532837,4351.7900390625,0.9049608707427979,0.8785195350646973
20,335,7377.056640625,,,,
21,351,,0.439353883266449,4369.83544921875,0.9032559394836426,0.8833118081092834
21,351,7449.9736328125,,,,
22,367,,0.4363715350627899,4338.79736328125,0.9049762487411499,0.8702835440635681
22,367,7446.3994140625,,,,
23,383,,0.4315946400165558,4340.544921875,0.9030522704124451,0.8712453246116638
23,383,7448.82958984375,,,,
