epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6555.46240234375,0.7569114565849304
0,24,7238.2978515625,,
1,49,,6596.43408203125,0.7658913135528564
1,49,6882.20166015625,,
2,74,,6543.81640625,0.7659935355186462
2,74,6851.443359375,,
3,99,,6481.9482421875,0.7680378556251526
3,99,6789.587890625,,
4,124,,6366.84375,0.7731440663337708
4,124,6756.6630859375,,
5,149,,6365.0556640625,0.7681174874305725
5,149,6748.04443359375,,
6,174,,6350.5576171875,0.7741636037826538
6,174,6699.6904296875,,
7,199,,6333.87060546875,0.7775540947914124
7,199,6681.38232421875,,
8,224,,6267.20166015625,0.781517505645752
8,224,6645.34619140625,,
9,249,,6194.30810546875,0.7868685126304626
9,249,6609.08154296875,,
10,274,,6253.275390625,0.7772923707962036
10,274,6599.6259765625,,
11,299,,6074.6376953125,0.79681795835495
11,299,6579.13671875,,
12,324,,6098.5439453125,0.7937509417533875
12,324,6551.7900390625,,
13,349,,6151.287109375,0.8027117252349854
13,349,6527.26123046875,,
14,374,,6070.466796875,0.8000582456588745
14,374,6531.1630859375,,
15,399,,6039.9912109375,0.796744704246521
15,399,6513.8359375,,
16,424,,6046.822265625,0.800453782081604
16,424,6491.82177734375,,
17,449,,6086.32421875,0.8036647439002991
17,449,6494.1015625,,
18,474,,6021.59130859375,0.8018122911453247
18,474,6495.35546875,,
19,499,,6036.47265625,0.8027991652488708
19,499,6450.8134765625,,
20,524,,5995.884765625,0.8016799688339233
20,524,6463.4365234375,,
21,549,,6004.896484375,0.801627516746521
21,549,6452.470703125,,
22,574,,6133.7041015625,0.7907376885414124
22,574,6460.310546875,,
23,599,,6103.341796875,0.8011500835418701
23,599,6465.4072265625,,
24,624,,5993.841796875,0.8022560477256775
24,624,6433.84375,,
25,649,,6021.17138671875,0.8028112649917603
25,649,6438.09619140625,,
26,674,,6098.865234375,0.8013651967048645
26,674,6442.841796875,,
27,699,,6038.65576171875,0.7998701333999634
27,699,6425.36962890625,,
28,724,,5997.240234375,0.8051706552505493
28,724,6437.82568359375,,
29,749,,6015.1787109375,0.8010472059249878
29,749,6425.80712890625,,
30,774,,6048.822265625,0.8057523369789124
30,774,6418.69140625,,
31,799,,6076.52490234375,0.7981085777282715
31,799,6421.63525390625,,
32,824,,6028.7314453125,0.8041720986366272
32,824,6444.55224609375,,
33,849,,6013.9755859375,0.7983181476593018
33,849,6420.25439453125,,
34,874,,5997.42138671875,0.7986101508140564
34,874,6410.947265625,,
35,899,,5987.5986328125,0.8044461011886597
35,899,6422.6455078125,,
36,924,,6022.09130859375,0.7993883490562439
36,924,6412.50634765625,,
37,949,,5975.341796875,0.8048962950706482
37,949,6413.33642578125,,
38,974,,6007.07421875,0.8046923875808716
