epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6672.60400390625,0.7567803263664246
0,24,7344.32421875,,
1,49,,6655.5048828125,0.7582336664199829
1,49,7032.42041015625,,
2,74,,6657.25341796875,0.7646588683128357
2,74,6978.23583984375,,
3,99,,6618.23974609375,0.7660204172134399
3,99,6946.90380859375,,
4,124,,6520.6025390625,0.769464910030365
4,124,6912.6611328125,,
5,149,,6410.14306640625,0.7705937027931213
5,149,6898.12353515625,,
6,174,,6482.125,0.7705601453781128
