epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6606.22021484375,0.7566774487495422
0,24,7241.85498046875,,
1,49,,6560.5107421875,0.7638194561004639
1,49,6890.0244140625,,
2,74,,6544.4453125,0.7651067972183228
2,74,6854.06884765625,,
3,99,,6526.06201171875,0.7677344679832458
3,99,6806.96240234375,,
4,124,,6390.63134765625,0.7719029784202576
4,124,6771.83349609375,,
5,149,,6371.9599609375,0.7713900208473206
5,149,6757.50341796875,,
6,174,,6406.80615234375,0.7738934755325317
6,174,6707.248046875,,
7,199,,6344.5498046875,0.7739821672439575
7,199,6697.5625,,
8,224,,6307.1455078125,0.7803746461868286
8,224,6659.10546875,,
9,249,,6228.00390625,0.7814890742301941
