epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,4979.572265625,0.7977190017700195
0,15,8417.6708984375,,
1,31,,4800.185546875,0.8273652791976929
1,31,7864.78076171875,,
2,47,,4655.28564453125,0.8505629897117615
2,47,7710.8681640625,,
3,63,,4584.75048828125,0.8487133383750916
3,63,7650.28955078125,,
4,79,,4528.68212890625,0.8542296886444092
4,79,7599.51025390625,,
5,95,,4522.1494140625,0.8558310866355896
5,95,7572.74560546875,,
6,111,,4625.7421875,0.8565897345542908
6,111,7547.6025390625,,
7,127,,4531.59521484375,0.8555715680122375
7,127,7548.4951171875,,
8,143,,4537.505859375,0.857062041759491
8,143,7493.451171875,,
9,159,,4431.99267578125,0.8553385734558105
9,159,7480.15234375,,
10,175,,4434.26611328125,0.8584712743759155
10,175,7476.42333984375,,
11,191,,4424.6708984375,0.8585891127586365
