epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6571.7275390625,0.7591723203659058
0,24,7234.619140625,,
1,49,,6563.89306640625,0.7611490488052368
1,49,6886.2578125,,
2,74,,6526.32080078125,0.769843578338623
2,74,6851.11767578125,,
3,99,,6479.30029296875,0.7685155868530273
3,99,6792.7734375,,
4,124,,6356.21533203125,0.7734637260437012
4,124,6757.13427734375,,
5,149,,6391.349609375,0.7673201560974121
5,149,6736.55078125,,
6,174,,6348.7724609375,0.7747673392295837
6,174,6699.3173828125,,
7,199,,6339.3193359375,0.7743021845817566
7,199,6685.6572265625,,
8,224,,6284.412109375,0.7803406119346619
