epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,5426.75,0.6962525844573975
0,15,8723.0859375,,
1,31,,5060.375,0.7653751969337463
1,31,8415.453125,,
2,47,,4970.42041015625,0.8148409128189087
2,47,8202.412109375,,
3,63,,4738.71826171875,0.8467774391174316
3,63,8078.36474609375,,
4,79,,4685.666015625,0.8491301536560059
4,79,7989.244140625,,
5,95,,4650.53857421875,0.8500486612319946
5,95,7908.51416015625,,
6,111,,4655.76611328125,0.8527535796165466
6,111,7898.07373046875,,
7,127,,4618.8466796875,0.8523542284965515
7,127,7887.1240234375,,
8,143,,4652.13671875,0.8557547926902771
8,143,7876.43603515625,,
9,159,,4551.53515625,0.850795328617096
9,159,7854.2197265625,,
10,175,,4725.8466796875,0.8530884981155396
10,175,7853.482421875,,
11,191,,4629.62158203125,0.8512606620788574
11,191,7842.00244140625,,
12,207,,4579.56689453125,0.8561890721321106
12,207,7865.44384765625,,
13,223,,4616.3203125,0.8546488881111145
13,223,7830.1572265625,,
14,239,,4570.03564453125,0.8536673188209534
14,239,7819.75537109375,,
