epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6567.1201171875,0.7585057616233826
0,24,7240.802734375,,
1,49,,6585.34716796875,0.7631985545158386
1,49,6885.8505859375,,
2,74,,6529.85986328125,0.7667837142944336
2,74,6856.28857421875,,
3,99,,6530.28125,0.7650850415229797
3,99,6806.7431640625,,
4,124,,6381.41796875,0.7729201912879944
4,124,6766.287109375,,
5,149,,6374.29833984375,0.7686330676078796
5,149,6736.671875,,
6,174,,6347.83154296875,0.7773775458335876
6,174,6699.75634765625,,
7,199,,6324.966796875,0.7804349660873413
7,199,6674.32763671875,,
8,224,,6234.396484375,0.7859514355659485
8,224,6623.55615234375,,
9,249,,6152.35546875,0.7896375060081482
9,249,6588.49365234375,,
10,274,,6214.7373046875,0.7878627181053162
10,274,6572.30810546875,,
11,299,,6053.77490234375,0.7985697984695435
11,299,6554.962890625,,
12,324,,6091.61865234375,0.7958190441131592
12,324,6535.814453125,,
13,349,,6122.7666015625,0.801713228225708
13,349,6527.38232421875,,
14,374,,6083.41943359375,0.7949786186218262
14,374,6516.49951171875,,
15,399,,6049.57861328125,0.7970691323280334
15,399,6489.220703125,,
16,424,,6019.30859375,0.8026584982872009
16,424,6472.84521484375,,
17,449,,6083.8486328125,0.8033846020698547
17,449,6478.11962890625,,
18,474,,6009.41259765625,0.801047682762146
18,474,6486.728515625,,
19,499,,6082.88330078125,0.8030716776847839
19,499,6447.13623046875,,
20,524,,5985.7568359375,0.8017354607582092
20,524,6448.27294921875,,
21,549,,5997.7001953125,0.8026447892189026
21,549,6438.45654296875,,
22,574,,6068.3876953125,0.8033127784729004
22,574,6443.32568359375,,
23,599,,6071.99609375,0.8003429770469666
23,599,6439.24560546875,,
24,624,,5984.3896484375,0.8038297891616821
24,624,6432.98095703125,,
25,649,,6022.44140625,0.8031397461891174
25,649,6439.44189453125,,
26,674,,6067.94775390625,0.8026565909385681
26,674,6434.544921875,,
27,699,,5981.45849609375,0.7998296022415161
27,699,6415.1337890625,,
28,724,,5994.3291015625,0.8043398261070251
28,724,6421.88525390625,,
29,749,,6021.87548828125,0.804846465587616
29,749,6413.69775390625,,
30,774,,6041.39306640625,0.8023751974105835
30,774,6405.32421875,,
31,799,,6069.83056640625,0.8062007427215576
31,799,6411.3798828125,,
32,824,,5999.287109375,0.8050682544708252
32,824,6429.9833984375,,
33,849,,6017.146484375,0.8000993728637695
33,849,6410.0634765625,,
34,874,,6007.8857421875,0.8028132915496826
34,874,6414.69091796875,,
35,899,,5972.775390625,0.8052048683166504
35,899,6418.4345703125,,
36,924,,6042.04736328125,0.8040458559989929
36,924,6401.6845703125,,
37,949,,5956.0400390625,0.8047619462013245
37,949,6394.53564453125,,
38,974,,6002.65283203125,0.8083778619766235
38,974,6405.91357421875,,
39,999,,5995.1416015625,0.801888108253479
39,999,6409.833984375,,
40,1024,,6053.52978515625,0.8042390942573547
40,1024,6396.96044921875,,
41,1049,,6025.7138671875,0.803966224193573
41,1049,6402.8388671875,,
42,1074,,6041.81298828125,0.8022176623344421
42,1074,6377.509765625,,
43,1099,,6013.77783203125,0.8047586679458618
43,1099,6388.52685546875,,
44,1124,,5995.240234375,0.8052874207496643
44,1124,6399.705078125,,
45,1149,,6092.873046875,0.8096423149108887
45,1149,6403.51611328125,,
46,1174,,6085.77099609375,0.8057672381401062
46,1174,6403.04150390625,,
47,1199,,6046.71826171875,0.802202045917511
47,1199,6395.4365234375,,
48,1224,,6024.76513671875,0.8053315877914429
48,1224,6394.90966796875,,
49,1249,,6004.0830078125,0.8085862994194031
49,1249,6383.06494140625,,
