epoch,step,train_loss_RANK,val_kendall_corr_metric,val_loss_RANK,val_map_at_k_metric,val_ndcg_at_k_metric
0,24,,0.2118183970451355,7264.2275390625,0.700886070728302,0.7231904864311218
0,24,7404.50244140625,,,,
1,49,,0.26673364639282227,6790.65576171875,0.770744800567627,0.6917747855186462
1,49,7193.279296875,,,,
2,74,,0.2678483724594116,6714.7080078125,0.8094909191131592,0.7457420825958252
2,74,7058.65966796875,,,,
3,99,,0.27319106459617615,6657.447265625,0.8254132270812988,0.8011866211891174
3,99,6972.193359375,,,,
4,124,,0.27327248454093933,6574.02685546875,0.8333089351654053,0.8288373947143555
4,124,6875.615234375,,,,
5,149,,0.2824288308620453,6451.30810546875,0.8320256471633911,0.8245949149131775
5,149,6863.75341796875,,,,
6,174,,0.28157341480255127,6463.75439453125,0.8498933911323547,0.8503003716468811
6,174,6791.3232421875,,,,
7,199,,0.28746962547302246,6442.27099609375,0.8547025322914124,0.849760115146637
7,199,6779.28857421875,,,,
8,224,,0.28645893931388855,6414.56884765625,0.8445256948471069,0.8437809944152832
8,224,6763.69970703125,,,,
9,249,,0.2847861349582672,6342.181640625,0.8507059812545776,0.8511272072792053
9,249,6737.18017578125,,,,
10,274,,0.28278374671936035,6454.92919921875,0.8557599782943726,0.8600026369094849
10,274,6697.61962890625,,,,
11,299,,0.3077794313430786,6207.5087890625,0.8615244030952454,0.8759946823120117
11,299,6672.51708984375,,,,
12,324,,0.30030184984207153,6133.12158203125,0.8749459981918335,0.8693044781684875
12,324,6650.9921875,,,,
13,349,,0.2999255955219269,6193.25390625,0.8699020147323608,0.8500996232032776
13,349,6623.54248046875,,,,
14,374,,0.2904812693595886,6206.52294921875,0.8748030662536621,0.8606065511703491
14,374,6582.5068359375,,,,
15,399,,0.2971484363079071,6125.4638671875,0.8696314692497253,0.8585309386253357
15,399,6596.35888671875,,,,
16,424,,0.29863741993904114,6138.71875,0.8728957772254944,0.8649559020996094
16,424,6577.58203125,,,,
17,449,,0.29873380064964294,6077.14599609375,0.8742736577987671,0.8623867630958557
17,449,6555.5498046875,,,,
18,474,,0.29977935552597046,6082.17138671875,0.8743081092834473,0.8547210097312927
18,474,6538.13525390625,,,,
19,499,,0.3048138916492462,6033.84375,0.8777117133140564,0.8662869334220886
19,499,6519.8564453125,,,,
20,524,,0.30517446994781494,6056.09423828125,0.8725935220718384,0.8699589967727661
20,524,6531.7080078125,,,,
21,549,,0.3056652545928955,6147.43994140625,0.8847019672393799,0.8550015091896057
21,549,6506.39697265625,,,,
22,574,,0.2989448010921478,6132.37744140625,0.8836751580238342,0.8596878051757812
22,574,6496.74609375,,,,
23,599,,0.30357247591018677,6101.89404296875,0.8843842148780823,0.8642578721046448
23,599,6491.7255859375,,,,
24,624,,0.31040483713150024,6066.84423828125,0.8802886009216309,0.8695021867752075
24,624,6496.50146484375,,,,
25,649,,0.29526373744010925,6093.54345703125,0.8832229971885681,0.8615997433662415
25,649,6503.109375,,,,
26,674,,0.3077104091644287,6054.75,0.8834172487258911,0.8543129563331604
26,674,6498.25634765625,,,,
27,699,,0.30641284584999084,6082.5,0.8846198320388794,0.8529608845710754
27,699,6483.68701171875,,,,
28,724,,0.3090934455394745,6027.2861328125,0.8828065991401672,0.8577314615249634
28,724,6481.38623046875,,,,
29,749,,0.30569174885749817,6082.119140625,0.8868982791900635,0.8619099855422974
29,749,6484.8388671875,,,,
30,774,,0.3077090084552765,6066.79833984375,0.8801112174987793,0.8754705190658569
30,774,6476.15625,,,,
31,799,,0.2994636595249176,6010.2880859375,0.884641706943512,0.877373993396759
31,799,6457.73486328125,,,,
32,824,,0.30534058809280396,5962.3916015625,0.880894124507904,0.8697130680084229
32,824,6457.341796875,,,,
33,849,,0.3044303059577942,6072.935546875,0.8801627159118652,0.8663773536682129
33,849,6455.4384765625,,,,
34,874,,0.30571725964546204,5969.837890625,0.8785464763641357,0.8732418417930603
34,874,6466.302734375,,,,
35,899,,0.30276378989219666,5980.5546875,0.8802205920219421,0.8752011656761169
35,899,6466.3369140625,,,,
36,924,,0.2962600588798523,6020.60205078125,0.8888078927993774,0.8702840209007263
36,924,6440.43701171875,,,,
37,949,,0.3040039837360382,6025.55419921875,0.8908869624137878,0.8697591423988342
37,949,6442.91650390625,,,,
38,974,,0.3133701682090759,6079.04443359375,0.8903414607048035,0.8795120716094971
38,974,6431.1494140625,,,,
39,999,,0.2975418269634247,6017.34619140625,0.8884282112121582,0.873934268951416
39,999,6438.998046875,,,,
40,1024,,0.3073362112045288,6006.63525390625,0.8877604007720947,0.8714328408241272
40,1024,6429.8515625,,,,
41,1049,,0.3095706105232239,5941.80078125,0.8877063393592834,0.8769419193267822
41,1049,6421.455078125,,,,
42,1074,,0.2983064353466034,5980.07470703125,0.8873399496078491,0.8784052729606628
42,1074,6436.02294921875,,,,
43,1099,,0.30013373494148254,6012.751953125,0.8893942832946777,0.8718947768211365
43,1099,6425.228515625,,,,
44,1124,,0.30554190278053284,6011.76416015625,0.8820828199386597,0.8774951100349426
44,1124,6426.009765625,,,,
45,1149,,0.3123837411403656,6056.96044921875,0.8932012319564819,0.874818742275238
45,1149,6440.220703125,,,,
46,1174,,0.3135760426521301,5909.23291015625,0.8872698545455933,0.8829007148742676
46,1174,6422.65771484375,,,,
47,1199,,0.3106152415275574,6006.74658203125,0.8832295536994934,0.8743249773979187
47,1199,6431.2080078125,,,,
48,1224,,0.30428802967071533,6000.55908203125,0.8856921792030334,0.885560929775238
48,1224,6410.73291015625,,,,
49,1249,,0.3006591200828552,6138.76513671875,0.8849759697914124,0.8668292164802551
49,1249,6434.9208984375,,,,
50,1274,,0.3052937090396881,6022.39794921875,0.8868809342384338,0.8768272399902344
50,1274,6432.62548828125,,,,
51,1299,,0.2997439503669739,6126.55810546875,0.8787317276000977,0.8820984363555908
51,1299,6434.10498046875,,,,
52,1324,,0.3053581416606903,5986.28125,0.8892710208892822,0.8797612190246582
52,1324,6421.896484375,,,,
53,1349,,0.31180474162101746,6039.53369140625,0.8875213861465454,0.8834014534950256
53,1349,6402.560546875,,,,
54,1374,,0.314126580953598,5946.9736328125,0.8773298263549805,0.8831837177276611
54,1374,6426.9619140625,,,,
55,1399,,0.3107151389122009,5918.44189453125,0.8904131054878235,0.8766640424728394
55,1399,6417.08349609375,,,,
56,1424,,0.3089463710784912,6041.72314453125,0.8860272169113159,0.8850372433662415
56,1424,6420.5771484375,,,,
57,1449,,0.3021146357059479,6041.70458984375,0.8651187419891357,0.8734985589981079
57,1449,6422.84619140625,,,,
58,1474,,0.3079928755760193,5966.45654296875,0.8760938048362732,0.8795008659362793
58,1474,6376.5625,,,,
59,1499,,0.30527037382125854,5980.40771484375,0.8811302781105042,0.8812310099601746
59,1499,6387.04052734375,,,,
60,1524,,0.3077549636363983,5963.21923828125,0.8788853883743286,0.8845221996307373
60,1524,6380.39697265625,,,,
61,1549,,0.3070489168167114,5984.9853515625,0.8783139586448669,0.8853131532669067
61,1549,6375.59912109375,,,,
62,1574,,0.3081962466239929,5967.63525390625,0.8825052380561829,0.8854050040245056
62,1574,6364.61767578125,,,,
63,1599,,0.30928000807762146,5960.9931640625,0.880709171295166,0.8871068358421326
63,1599,6379.6171875,,,,
64,1624,,0.3110716640949249,5981.5224609375,0.8803226947784424,0.8868392109870911
64,1624,6380.64306640625,,,,
65,1649,,0.3097538352012634,5970.3125,0.8814472556114197,0.8858155012130737
65,1649,6359.224609375,,,,
66,1674,,0.3088805079460144,5982.53125,0.8790580034255981,0.886554479598999
66,1674,6368.11474609375,,,,
67,1699,,0.30871284008026123,5947.6171875,0.8772085309028625,0.8848241567611694
67,1699,6384.42626953125,,,,
68,1724,,0.310316801071167,5982.40869140625,0.880476176738739,0.886414647102356
68,1724,6353.56982421875,,,,
69,1749,,0.31043004989624023,5976.05908203125,0.8811595439910889,0.8860964179039001
69,1749,6361.34033203125,,,,
70,1774,,0.3095618188381195,5971.46484375,0.8809050917625427,0.8860582709312439
70,1774,6353.9755859375,,,,
71,1799,,0.3098450005054474,5973.619140625,0.8811820149421692,0.8862802982330322
71,1799,6375.05419921875,,,,
72,1824,,0.3099074959754944,5976.9501953125,0.8810127377510071,0.886334240436554
72,1824,6379.44970703125,,,,
73,1849,,0.30964064598083496,5974.47705078125,0.8810266852378845,0.8858990669250488
73,1849,6363.3544921875,,,,
74,1874,,0.30887436866760254,5972.8642578125,0.8817873001098633,0.8865135908126831
74,1874,6361.60791015625,,,,
75,1899,,0.3081203103065491,5971.29931640625,0.881701648235321,0.8861832022666931
75,1899,6372.3779296875,,,,
76,1924,,0.3079596757888794,5971.9287109375,0.8815641403198242,0.8862675428390503
76,1924,6366.01025390625,,,,
77,1949,,0.30830612778663635,5970.73193359375,0.8830060362815857,0.886864960193634
77,1949,6368.7666015625,,,,
78,1974,,0.3088279664516449,5970.865234375,0.8819071054458618,0.886592447757721
78,1974,6362.6845703125,,,,
79,1999,,0.3092668652534485,5968.78759765625,0.8822283744812012,0.8867622017860413
79,1999,6369.091796875,,,,
80,2024,,0.30918556451797485,5968.9873046875,0.8822001218795776,0.8867709636688232
80,2024,6360.7744140625,,,,
81,2049,,0.30916571617126465,5968.630859375,0.8821764588356018,0.8867660164833069
81,2049,6359.79638671875,,,,
82,2074,,0.30887332558631897,5968.916015625,0.8821918964385986,0.8867457509040833
82,2074,6376.021484375,,,,
83,2099,,0.3087860643863678,5969.09228515625,0.8822377324104309,0.8867372274398804
83,2099,6357.453125,,,,
84,2124,,0.3086856007575989,5969.572265625,0.8822038769721985,0.8867454528808594
84,2124,6364.11328125,,,,
85,2149,,0.3086828887462616,5969.82470703125,0.8822091817855835,0.8867709040641785
85,2149,6374.65966796875,,,,
86,2174,,0.3085766136646271,5969.62353515625,0.882054328918457,0.8867158889770508
86,2174,6365.529296875,,,,
87,2199,,0.30855271220207214,5969.623046875,0.881995439529419,0.8867231607437134
87,2199,6372.72265625,,,,
88,2224,,0.30865469574928284,5969.8359375,0.8819971084594727,0.8866668343544006
88,2224,6365.92236328125,,,,
89,2249,,0.3086271584033966,5970.0234375,0.8821059465408325,0.8866285085678101
89,2249,6364.87353515625,,,,
90,2274,,0.3085354268550873,5969.79638671875,0.8821331858634949,0.8866346478462219
90,2274,6377.490234375,,,,
91,2299,,0.30853888392448425,5969.77294921875,0.882134735584259,0.8866365551948547
91,2299,6366.47119140625,,,,
92,2324,,0.3085130453109741,5969.79931640625,0.8821367621421814,0.8866365551948547
