epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,4851.6748046875,0.8176583647727966
0,15,8435.98828125,,
1,31,,4546.10009765625,0.8477174043655396
1,31,7694.93212890625,,
2,47,,4536.29345703125,0.8570159673690796
2,47,7506.11376953125,,
3,63,,4507.00927734375,0.8586002588272095
3,63,7488.68212890625,,
4,79,,4535.0244140625,0.843525767326355
4,79,7424.06298828125,,
5,95,,4457.34765625,0.8531677722930908
5,95,7423.81591796875,,
6,111,,4477.078125,0.8473164439201355
