epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,5025.4033203125,0.7749243974685669
0,15,8536.7724609375,,
1,31,,4641.32421875,0.8433457016944885
1,31,8036.86376953125,,
2,47,,4688.12353515625,0.8471117615699768
2,47,7846.25439453125,,
3,63,,4602.48486328125,0.849814772605896
3,63,7775.8388671875,,
4,79,,4516.73583984375,0.8546783328056335
4,79,7762.17333984375,,
5,95,,4681.36279296875,0.8532778024673462
5,95,7842.1884765625,,
6,111,,4550.369140625,0.8555548191070557
6,111,7704.36572265625,,
7,127,,4490.92724609375,0.8557372093200684
7,127,7687.7109375,,
8,143,,4449.076171875,0.8555349707603455
8,143,7662.4443359375,,
9,159,,4490.375,0.855413019657135
9,159,7653.64453125,,
10,175,,4514.470703125,0.8569796085357666
10,175,7664.34716796875,,
11,191,,4630.9169921875,0.8523828387260437
