epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,30,,4961.97314453125,0.8020337224006653
0,30,8393.6337890625,,
1,61,,4807.81591796875,0.8226160407066345
1,61,7958.29443359375,,
2,92,,4720.9736328125,0.8476965427398682
2,92,7820.15087890625,,
3,123,,4626.541015625,0.8513254523277283
3,123,7725.63134765625,,
4,154,,4626.26806640625,0.8516809344291687
4,154,7717.83544921875,,
5,185,,4615.4365234375,0.8544052243232727
5,185,7685.74951171875,,
6,216,,4557.9052734375,0.8569368124008179
6,216,7668.818359375,,
7,247,,4500.23876953125,0.8579220771789551
7,247,7660.53466796875,,
8,278,,4576.89404296875,0.8511593341827393
8,278,7620.54443359375,,
9,309,,4554.33837890625,0.8589279055595398
9,309,7628.47607421875,,
10,340,,4479.79296875,0.8560526967048645
10,340,7570.9736328125,,
11,371,,4472.529296875,0.8565144538879395
11,371,7581.16552734375,,
12,402,,4423.88427734375,0.860679566860199
12,402,7554.283203125,,
13,433,,4459.48388671875,0.8561335802078247
13,433,7595.20654296875,,
14,464,,4456.52978515625,0.857737123966217
14,464,7528.9033203125,,
