epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6674.80078125,0.7570454478263855
0,24,7311.1298828125,,
1,49,,6627.57275390625,0.7631382942199707
1,49,7082.8681640625,,
2,74,,6673.3916015625,0.7697458863258362
2,74,7017.26123046875,,
3,99,,6619.47900390625,0.7589792013168335
3,99,6988.7255859375,,
4,124,,6455.083984375,0.7763357162475586
4,124,6947.9755859375,,
5,149,,6425.8271484375,0.7689335346221924
5,149,6919.44677734375,,
6,174,,6423.38916015625,0.7714992165565491
6,174,6876.634765625,,
7,199,,6378.75146484375,0.7672654986381531
7,199,6855.2021484375,,
8,224,,6384.8212890625,0.7774742245674133
