epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,5112.8193359375,0.756175696849823
0,15,8463.1865234375,,
1,31,,4895.33154296875,0.8168890476226807
1,31,7947.828125,,
2,47,,4768.09326171875,0.822498083114624
2,47,7796.29150390625,,
3,63,,4642.13720703125,0.8377081155776978
3,63,7676.44775390625,,
4,79,,4590.08642578125,0.847910463809967
4,79,7614.7529296875,,
5,95,,4550.58740234375,0.8514553904533386
5,95,7536.51708984375,,
6,111,,4535.6279296875,0.855909526348114
6,111,7511.5810546875,,
7,127,,4477.00927734375,0.8512524366378784
7,127,7471.59228515625,,
8,143,,4456.44140625,0.8537079095840454
8,143,7487.9443359375,,
9,159,,4471.84033203125,0.8548048138618469
9,159,7456.8876953125,,
10,175,,4461.21435546875,0.8560619354248047
10,175,7425.98388671875,,
11,191,,4446.857421875,0.8623313307762146
11,191,7430.96923828125,,
12,207,,4463.705078125,0.8588303923606873
12,207,7427.607421875,,
13,223,,4430.50732421875,0.8590854406356812
13,223,7380.33544921875,,
14,239,,4462.16162109375,0.8573107123374939
14,239,7378.39990234375,,
15,255,,4389.75537109375,0.8558547496795654
15,255,7373.24169921875,,
16,271,,4389.4931640625,0.8572372794151306
16,271,7375.931640625,,
17,287,,4389.83935546875,0.8583248853683472
17,287,7345.57275390625,,
18,303,,4406.533203125,0.8570255041122437
18,303,7326.14453125,,
19,319,,4342.28857421875,0.8589096665382385
19,319,7335.86328125,,
20,335,,4366.9697265625,0.8562443256378174
20,335,7347.11279296875,,
21,351,,4407.1591796875,0.860551655292511
21,351,7304.201171875,,
22,367,,4403.06787109375,0.8586806654930115
22,367,7302.63134765625,,
23,383,,4401.71240234375,0.8597621321678162
23,383,7305.607421875,,
24,399,,4404.69580078125,0.8567962050437927
24,399,7318.36767578125,,
25,415,,4378.712890625,0.86139315366745
25,415,7368.79150390625,,
26,431,,4350.8359375,0.8595403432846069
26,431,7323.1923828125,,
27,447,,4395.1767578125,0.8594138026237488
27,447,7280.18408203125,,
28,463,,4460.58447265625,0.8605313301086426
28,463,7276.048828125,,
29,479,,4324.35546875,0.8560675382614136
29,479,7314.0380859375,,
30,495,,4302.90966796875,0.8559204339981079
30,495,7279.50927734375,,
31,511,,4326.4248046875,0.8577306270599365
31,511,7291.68310546875,,
32,527,,4384.20068359375,0.8598684072494507
32,527,7264.57080078125,,
33,543,,4373.7021484375,0.8589310646057129
33,543,7262.24462890625,,
34,559,,4322.33984375,0.861225962638855
34,559,7244.541015625,,
35,575,,4311.6640625,0.8613449335098267
35,575,7231.0546875,,
36,591,,4291.30810546875,0.8589574098587036
36,591,7248.1220703125,,
37,607,,4293.6494140625,0.8611252307891846
37,607,7220.7744140625,,
38,623,,4310.58544921875,0.8600422143936157
38,623,7229.67822265625,,
39,639,,4274.7783203125,0.8612436652183533
39,639,7207.1884765625,,
40,655,,4325.833984375,0.8636134266853333
40,655,7223.087890625,,
41,671,,4263.4697265625,0.8598981499671936
41,671,7245.16357421875,,
42,687,,4353.0244140625,0.859295129776001
42,687,7258.50341796875,,
43,703,,4288.12451171875,0.8612279891967773
43,703,7244.46533203125,,
44,719,,4260.505859375,0.8594549894332886
44,719,7219.3720703125,,
45,735,,4445.9267578125,0.8594494462013245
45,735,7283.8193359375,,
46,751,,4282.6494140625,0.8598055839538574
46,751,7241.1171875,,
47,767,,4308.52001953125,0.8596082329750061
47,767,7244.85791015625,,
48,783,,4319.82421875,0.8579956293106079
48,783,7217.9560546875,,
49,799,,4348.36181640625,0.8618754148483276
49,799,7208.6103515625,,
