epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6607.86083984375,0.7598286867141724
0,24,7290.4404296875,,
1,49,,6648.3232421875,0.762830913066864
1,49,6949.81689453125,,
2,74,,6623.03564453125,0.7645046710968018
2,74,6911.67626953125,,
3,99,,6563.06396484375,0.7658756971359253
3,99,6873.87890625,,
4,124,,6459.3515625,0.7690317630767822
4,124,6838.93212890625,,
5,149,,6392.5732421875,0.7695472836494446
5,149,6812.01904296875,,
6,174,,6425.1669921875,0.7707479000091553
