epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6879.08056640625,0.6931664347648621
0,24,7406.51123046875,,
1,49,,6684.1328125,0.7573382258415222
1,49,7090.4892578125,,
2,74,,6515.8662109375,0.7592275738716125
2,74,6993.16845703125,,
3,99,,6518.20361328125,0.7695302367210388
3,99,6939.24853515625,,
4,124,,6421.03125,0.7697043418884277
4,124,6917.80859375,,
5,149,,6459.75048828125,0.7702358961105347
5,149,6884.38037109375,,
6,174,,6413.30078125,0.7699818015098572
6,174,6854.58984375,,
7,199,,6489.69140625,0.771361768245697
7,199,6852.8212890625,,
8,224,,6310.34375,0.7815027236938477
8,224,6808.42431640625,,
9,249,,6356.90380859375,0.7760471701622009
9,249,6771.79052734375,,
10,274,,6244.29296875,0.7916162610054016
10,274,6761.57763671875,,
11,299,,6180.54443359375,0.7921730279922485
11,299,6722.88427734375,,
12,324,,6191.0556640625,0.7902747988700867
12,324,6702.7333984375,,
13,349,,6135.89453125,0.7918156981468201
13,349,6708.72265625,,
14,374,,6160.375,0.7936459183692932
14,374,6673.7705078125,,
15,399,,6137.34716796875,0.7933415174484253
