epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6582.78564453125,0.7625129222869873
0,24,7186.7998046875,,
1,49,,6462.07763671875,0.7624440789222717
1,49,6889.3779296875,,
2,74,,6417.84375,0.7685719728469849
2,74,6820.57275390625,,
3,99,,6407.70166015625,0.7682372331619263
3,99,6772.7880859375,,
4,124,,6363.4248046875,0.7725415229797363
4,124,6762.5458984375,,
5,149,,6327.57421875,0.7736058235168457
5,149,6725.39990234375,,
6,174,,6367.7861328125,0.7755926251411438
6,174,6707.93701171875,,
7,199,,6255.490234375,0.7764438986778259
7,199,6668.63232421875,,
8,224,,6208.2001953125,0.7889882326126099
8,224,6628.25439453125,,
9,249,,6154.18896484375,0.7925810813903809
9,249,6590.3955078125,,
10,274,,6134.5751953125,0.7898195385932922
10,274,6577.8212890625,,
11,299,,6096.58984375,0.7908134460449219
