epoch,step,train_loss_RANK,val_kendall_corr_metric,val_loss_RANK,val_map_at_k_metric,val_ndcg_at_k_metric
0,15,,0.4086880087852478,4808.072265625,0.8750075697898865,0.8175390362739563
0,15,8262.9052734375,,,,
1,31,,0.42746588587760925,4673.21240234375,0.8909187912940979,0.851807713508606
1,31,7684.61669921875,,,,
2,47,,0.4531475901603699,4610.97314453125,0.8971618413925171,0.8663316965103149
2,47,7634.3466796875,,,,
3,63,,0.4397526681423187,4474.4990234375,0.9033562541007996,0.8908088207244873
3,63,7535.4111328125,,,,
4,79,,0.44853633642196655,4497.54150390625,0.8956081867218018,0.8820751905441284
4,79,7443.8193359375,,,,
5,95,,0.41317665576934814,4526.9404296875,0.8885907530784607,0.8102392554283142
5,95,7424.052734375,,,,
6,111,,0.44670334458351135,4526.0625,0.9019033908843994,0.887694239616394
6,111,7536.92236328125,,,,
7,127,,0.44598114490509033,4433.2734375,0.9004641771316528,0.8880653977394104
7,127,7428.87060546875,,,,
8,143,,0.4421941339969635,4408.548828125,0.8986682295799255,0.8579331040382385
8,143,7348.09423828125,,,,
9,159,,0.425347238779068,4351.359375,0.8967596292495728,0.8535413146018982
9,159,7356.080078125,,,,
10,175,,0.4263860881328583,4418.9072265625,0.8995029926300049,0.8746565580368042
10,175,7307.04833984375,,,,
11,191,,0.4396458566188812,4302.03955078125,0.9001486301422119,0.885469913482666
11,191,7269.98486328125,,,,
12,207,,0.4282107353210449,4401.7197265625,0.8957369327545166,0.8632481098175049
12,207,7302.44580078125,,,,
13,223,,0.4325348436832428,4280.21240234375,0.9028281569480896,0.8782976269721985
13,223,7338.47705078125,,,,
14,239,,0.4163157343864441,4485.7587890625,0.9018357396125793,0.8716272115707397
14,239,7272.34765625,,,,
15,255,,0.4299127161502838,4303.79296875,0.9037401080131531,0.8767308592796326
15,255,7288.6748046875,,,,
16,271,,0.42634811997413635,4327.64013671875,0.896719217300415,0.8775375485420227
16,271,7204.64697265625,,,,
17,287,,0.427928626537323,4322.6845703125,0.8976902961730957,0.8813088536262512
17,287,7203.72705078125,,,,
18,303,,0.41509363055229187,4311.38037109375,0.9051563739776611,0.8806056976318359
18,303,7228.09228515625,,,,
19,319,,0.4201067090034485,4384.16455078125,0.895961344242096,0.8756308555603027
19,319,7254.24658203125,,,,
20,335,,0.42354217171669006,4267.3662109375,0.9048089385032654,0.8852328062057495
20,335,7242.9853515625,,,,
21,351,,0.4294910728931427,4251.4619140625,0.9006198048591614,0.8799506425857544
21,351,7264.4619140625,,,,
22,367,,0.42092007398605347,4276.39404296875,0.9020453691482544,0.8790448307991028
22,367,7209.31689453125,,,,
23,383,,0.43034133315086365,4233.61474609375,0.8987302184104919,0.8841422200202942
