epoch,step,test_loss,train_loss,val_loss
0,30,,,0.056058578193187714
1,49,,0.04370850324630737,
1,61,,,0.04576723277568817
2,92,,,0.04523449391126633
3,99,,0.04163646697998047,
3,123,,,0.04471176862716675
4,149,,0.03695712238550186,
4,154,,,0.04336407035589218
5,185,,,0.042178548872470856
6,199,,0.03221290558576584,
6,216,,,0.03984593227505684
7,247,,,0.038551557809114456
8,249,,0.03992116078734398,
8,278,,,0.03686719015240669
9,299,,0.04823899641633034,
9,309,,,0.036406587809324265
10,340,,,0.0355517640709877
11,349,,0.030285539105534554,
11,371,,,0.03518952429294586
12,399,,0.02947484888136387,
12,402,,,0.03453889116644859
13,433,,,0.0352475680410862
14,449,,0.0302419513463974,
14,464,,,0.034559864550828934
15,495,,,0.03354218602180481
16,499,,0.037012163549661636,
16,526,,,0.03303910791873932
17,549,,0.033849526196718216,
17,557,,,0.032999198883771896
18,588,,,0.03258214145898819
19,599,,0.027002299204468727,
19,619,,,0.032298777252435684
20,649,,0.02336956560611725,
20,650,,,0.03268684074282646
21,681,,,0.03261813893914223
22,699,,0.02126980759203434,
22,712,,,0.032658614218235016
23,743,,,0.030995570123195648
24,749,,0.025208214297890663,
24,774,,,0.0308826994150877
25,799,,0.02876722812652588,
25,805,,,0.03049854002892971
26,836,,,0.030816655606031418
27,849,,0.02598409540951252,
27,867,,,0.030537543818354607
28,898,,,0.030070040374994278
29,899,,0.035374220460653305,
29,929,,,0.029854366555809975
30,949,,0.02392745390534401,
30,960,,,0.030127665027976036
31,991,,,0.0290395338088274
32,999,,0.029856247827410698,
32,1022,,,0.029111623764038086
33,1049,,0.0363866463303566,
33,1053,,,0.028380461037158966
34,1084,,,0.030147602781653404
35,1099,,0.02262852154672146,
35,1115,,,0.02820662409067154
36,1146,,,0.028853634372353554
37,1149,,0.024551810696721077,
37,1177,,,0.028338421136140823
38,1199,,0.024926090613007545,
38,1208,,,0.027822263538837433
39,1239,,,0.02802872657775879
40,1249,,0.028348824009299278,
40,1270,,,0.031170638278126717
41,1299,,0.023969458416104317,
41,1301,,,0.028234146535396576
42,1332,,,0.027177512645721436
43,1349,,0.020789798349142075,
43,1363,,,0.028081363067030907
44,1394,,,0.02715405449271202
45,1399,,0.024344436824321747,
45,1425,,,0.02661343850195408
46,1449,,0.026422321796417236,
46,1456,,,0.026519540697336197
47,1487,,,0.026825973764061928
48,1499,,0.022547440603375435,
48,1518,,,0.026290638372302055
49,1549,,0.020716851577162743,
49,1549,,,0.02587006241083145
50,1580,,,0.025920113548636436
51,1599,,0.02505400963127613,
51,1611,,,0.02693926729261875
52,1642,,,0.026055846363306046
53,1649,,0.027311593294143677,
53,1673,,,0.027591334655880928
54,1699,,0.024713892489671707,
54,1704,,,0.02549063414335251
55,1735,,,0.026301952078938484
56,1749,,0.023652557283639908,
56,1766,,,0.02607964165508747
57,1797,,,0.025079673156142235
58,1799,,0.027341114357113838,
58,1828,,,0.024898692965507507
59,1849,,0.018597612157464027,
59,1859,,,0.02545313723385334
60,1890,,,0.026280349120497704
61,1899,,0.025613276287913322,
61,1921,,,0.02475976012647152
62,1949,,0.02304181456565857,
62,1952,,,0.025507494807243347
63,1983,,,0.024790596216917038
64,1999,,0.02751925215125084,
64,2014,,,0.026095913723111153
65,2045,,,0.02677551656961441
66,2049,,0.019946914166212082,
66,2076,,,0.025191936641931534
67,2099,,0.023284370079636574,
67,2107,,,0.025037061423063278
68,2138,,,0.023957256227731705
69,2149,,0.02323867194354534,
69,2169,,,0.023956742137670517
70,2199,,0.02640901505947113,
70,2200,,,0.027698678895831108
71,2231,,,0.0238577239215374
72,2249,,0.02360719069838524,
72,2262,,,0.024584008380770683
73,2293,,,0.02432529628276825
74,2299,,0.01807807944715023,
74,2324,,,0.024160929024219513
75,2349,,0.0206165611743927,
75,2355,,,0.02449904941022396
76,2386,,,0.025190943852066994
77,2399,,0.0270092710852623,
77,2417,,,0.03083292581140995
78,2448,,,0.023685218766331673
79,2449,,0.020044131204485893,
79,2479,,,0.02366248145699501
80,2499,,0.025339731946587563,
80,2510,,,0.0240782443434
81,2541,,,0.023045510053634644
82,2549,,0.027064625173807144,
82,2572,,,0.023059366270899773
83,2599,,0.022904735058546066,
83,2603,,,0.025097593665122986
84,2634,,,0.023964671418070793
85,2649,,0.020003382116556168,
85,2665,,,0.022732237353920937
86,2696,,,0.023334139958024025
87,2699,,0.018881801515817642,
87,2727,,,0.024960342794656754
88,2749,,0.029847707599401474,
88,2758,,,0.024964651092886925
89,2789,,,0.022641872987151146
90,2799,,0.022421257570385933,
90,2820,,,0.024363426491618156
91,2849,,0.022143220528960228,
91,2851,,,0.02279670163989067
92,2882,,,0.02292768657207489
93,2899,,0.019938671961426735,
93,2913,,,0.023369768634438515
94,2944,,,0.02280700020492077
95,2949,,0.01806069351732731,
95,2975,,,0.02269354648888111
96,2999,,0.019415030255913734,
96,3006,,,0.02390621230006218
97,3037,,,0.023678958415985107
98,3049,,0.017481517046689987,
98,3068,,,0.022055944427847862
99,3099,,0.02435878850519657,
99,3099,,,0.0223307516425848
100,3100,0.023800116032361984,,
