epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,4929.548828125,0.8105015754699707
0,15,8336.509765625,,
1,31,,4588.9951171875,0.8475328087806702
1,31,7764.91748046875,,
2,47,,4541.63525390625,0.8478426337242126
2,47,7595.27294921875,,
3,63,,4482.42578125,0.8526769876480103
3,63,7496.90576171875,,
4,79,,4470.81298828125,0.8545449376106262
4,79,7455.87646484375,,
5,95,,4460.0732421875,0.8566853404045105
5,95,7463.2509765625,,
6,111,,4440.66064453125,0.8546975255012512
6,111,7400.53076171875,,
7,127,,4460.828125,0.8531047701835632
7,127,7388.86279296875,,
8,143,,4488.11572265625,0.8555472493171692
8,143,7407.3916015625,,
9,159,,4390.2470703125,0.8555558323860168
9,159,7408.9111328125,,
10,175,,4441.451171875,0.8588667511940002
10,175,7378.96875,,
11,191,,4430.5244140625,0.8610939979553223
11,191,7353.7861328125,,
12,207,,4316.65380859375,0.8556181788444519
12,207,7314.69921875,,
13,223,,4393.51318359375,0.8592141270637512
13,223,7327.20947265625,,
14,239,,4336.875,0.8542124629020691
14,239,7351.2001953125,,
15,255,,4317.697265625,0.8588591814041138
15,255,7300.66064453125,,
16,271,,4323.12939453125,0.86094069480896
16,271,7280.83837890625,,
17,287,,4306.2451171875,0.8537478446960449
17,287,7247.47119140625,,
18,303,,4281.0947265625,0.8612868189811707
18,303,7260.96875,,
19,319,,4252.1220703125,0.8540488481521606
19,319,7237.31005859375,,
20,335,,4302.095703125,0.857597291469574
20,335,7257.14599609375,,
21,351,,4260.71923828125,0.861139178276062
21,351,7197.87890625,,
22,367,,4351.83154296875,0.8609119057655334
22,367,7237.09130859375,,
23,383,,4323.5517578125,0.8594772219657898
23,383,7291.32666015625,,
24,399,,4297.017578125,0.8575870990753174
24,399,7297.25048828125,,
25,415,,4296.69921875,0.8587474226951599
25,415,7248.01416015625,,
26,431,,4345.294921875,0.8566394448280334
26,431,7252.56298828125,,
27,447,,4319.59130859375,0.8572878837585449
27,447,7247.240234375,,
28,463,,4343.8115234375,0.8589419722557068
28,463,7231.52734375,,
29,479,,4338.8876953125,0.8591362833976746
29,479,7201.31103515625,,
30,495,,4394.5302734375,0.851089358329773
30,495,7243.55712890625,,
31,511,,4256.19189453125,0.8566254377365112
31,511,7194.4951171875,,
32,527,,4257.67333984375,0.860775351524353
32,527,7150.5361328125,,
33,543,,4254.9931640625,0.8620445728302002
33,543,7141.08251953125,,
34,559,,4236.89453125,0.8598746061325073
34,559,7137.95263671875,,
35,575,,4251.96826171875,0.8613547086715698
35,575,7148.43896484375,,
36,591,,4244.0234375,0.8618486523628235
36,591,7132.8876953125,,
37,607,,4246.51611328125,0.8615232706069946
37,607,7125.7255859375,,
38,623,,4231.31884765625,0.8629863858222961
38,623,7141.732421875,,
39,639,,4228.28955078125,0.8624906539916992
39,639,7118.5,,
40,655,,4225.638671875,0.8628934621810913
