epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,4919.4111328125,0.8164458274841309
0,15,8440.4658203125,,
1,31,,4558.0029296875,0.8516230583190918
1,31,7689.36181640625,,
2,47,,4563.3251953125,0.8555705547332764
2,47,7506.26806640625,,
3,63,,4555.72900390625,0.8575878143310547
3,63,7495.58935546875,,
4,79,,4580.5595703125,0.842117428779602
4,79,7424.8759765625,,
5,95,,4421.66796875,0.8527988791465759
5,95,7440.56396484375,,
6,111,,4426.59326171875,0.850576639175415
