epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,4888.80224609375,0.830493688583374
0,15,8363.4462890625,,
1,31,,4591.57958984375,0.8494530320167542
1,31,7774.95849609375,,
2,47,,4579.94775390625,0.8535887002944946
2,47,7547.537109375,,
3,63,,4484.21630859375,0.8554540872573853
3,63,7513.591796875,,
4,79,,4592.1552734375,0.8377269506454468
4,79,7435.7421875,,
5,95,,4483.1796875,0.8542054891586304
5,95,7470.47119140625,,
6,111,,4396.70458984375,0.8594415187835693
6,111,7389.8515625,,
7,127,,4431.765625,0.8545475602149963
7,127,7437.9189453125,,
8,143,,4322.59130859375,0.8620840907096863
8,143,7343.67431640625,,
9,159,,4387.36767578125,0.861902117729187
9,159,7312.9111328125,,
10,175,,4327.94091796875,0.8598935604095459
10,175,7298.880859375,,
11,191,,4315.1494140625,0.8615859150886536
11,191,7282.16650390625,,
12,207,,4278.48291015625,0.8554186224937439
12,207,7247.07421875,,
13,223,,4361.72607421875,0.8550882339477539
13,223,7289.45263671875,,
14,239,,4443.28857421875,0.8562804460525513
14,239,7291.7275390625,,
15,255,,4292.4794921875,0.8567376732826233
15,255,7299.82861328125,,
16,271,,4385.48486328125,0.8559433817863464
16,271,7261.64697265625,,
17,287,,4304.548828125,0.8502099514007568
17,287,7272.87255859375,,
18,303,,4271.71533203125,0.8571410775184631
18,303,7263.63232421875,,
19,319,,4357.93701171875,0.8622164130210876
19,319,7235.1845703125,,
20,335,,4329.72705078125,0.8530377149581909
20,335,7201.52685546875,,
21,351,,4340.076171875,0.8565887808799744
21,351,7256.5185546875,,
22,367,,4304.9443359375,0.8607404232025146
22,367,7254.86279296875,,
23,383,,4332.23486328125,0.8550977110862732
23,383,7217.04150390625,,
24,399,,4262.27392578125,0.8536906838417053
24,399,7208.77197265625,,
25,415,,4286.65576171875,0.8559203743934631
25,415,7203.95458984375,,
26,431,,4222.0751953125,0.8624417185783386
26,431,7164.37548828125,,
27,447,,4225.1611328125,0.858555257320404
27,447,7169.0712890625,,
28,463,,4283.99169921875,0.8618356585502625
28,463,7180.32177734375,,
29,479,,4253.60302734375,0.8572278618812561
29,479,7123.03271484375,,
30,495,,4347.0263671875,0.8657547235488892
30,495,7157.0634765625,,
31,511,,4235.076171875,0.8599212765693665
31,511,7165.22119140625,,
32,527,,4368.42041015625,0.854771077632904
32,527,7195.1435546875,,
33,543,,4211.9931640625,0.8625022172927856
33,543,7173.765625,,
34,559,,4221.3369140625,0.8606668710708618
34,559,7119.00244140625,,
35,575,,4426.00048828125,0.8604328632354736
35,575,7141.013671875,,
36,591,,4255.138671875,0.861928403377533
36,591,7157.798828125,,
37,607,,4223.61572265625,0.8651429414749146
37,607,7129.197265625,,
38,623,,4269.19140625,0.8642632365226746
38,623,7119.8349609375,,
39,639,,4239.66162109375,0.8637963533401489
39,639,7164.83642578125,,
40,655,,4206.31201171875,0.8672356605529785
40,655,7098.85107421875,,
41,671,,4209.24169921875,0.8697770237922668
41,671,7113.42822265625,,
42,687,,4194.82177734375,0.8665584325790405
42,687,7098.31689453125,,
43,703,,4192.93603515625,0.8547185659408569
43,703,7194.37158203125,,
44,719,,4202.396484375,0.8626881241798401
44,719,7157.845703125,,
45,735,,4167.57080078125,0.8647949695587158
45,735,7095.50048828125,,
46,751,,4202.70361328125,0.8589655756950378
46,751,7096.71484375,,
47,767,,4293.69580078125,0.855702817440033
47,767,7204.80029296875,,
48,783,,4198.5830078125,0.8645235300064087
48,783,7177.6162109375,,
49,799,,4228.23779296875,0.8706672191619873
49,799,7111.92138671875,,
