epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6669.81591796875,0.7547352313995361
0,24,7324.8955078125,,
1,49,,6612.5517578125,0.764843761920929
1,49,7076.5048828125,,
2,74,,6665.8662109375,0.7721486687660217
2,74,7015.0732421875,,
3,99,,6600.712890625,0.7622952461242676
3,99,6983.23779296875,,
4,124,,6507.16845703125,0.7724976539611816
4,124,6949.44580078125,,
5,149,,6425.04345703125,0.7723627686500549
5,149,6926.62255859375,,
6,174,,6477.42333984375,0.7723475694656372
